Conf.,Award,Time,Topic,Room,Name,Type
VAST,,16:15 – 17:55,Cupid: Cluster-based Exploration of Geometry Generators with Parallel Coordinates and Radial Trees,Scene C,"Michael Beham, Wolfgang Herzner, Eduard Gröller, Johannes Kehrer",Papers
VAST,,16:15 – 17:55,Visual Methods for Analyzing Probabilistic Classification Data,Scene C,"Bilal Alsallakh, Allan Hanbury, Helwig Hauser, Silvia Miksch, Andreas Rauber",Papers
VAST,,16:15 – 17:55,A Five-Level Design Framework for Bicluster Visualizations,Scene C,"Maoyuan Sun, Chris North, Naren Ramakrishnan",Papers
VAST,,16:15 – 17:55,VarifocalReader -- In-Depth Visual Analysis of Large Text Documents,Scene C,"Steffen Koch, Markus John, Michael Wörner, Andreas Müller, Thomas Ertl",Papers
,,,,,,
InfoVis,,16:15 – 17:55,Networks,Scene B,Tim Dwyer,Papers Session
InfoVis,BP,16:15 – 17:55,Multivariate Network Exploration and Presentation: From Detail to Overview via Selections and Aggregations,Scene B,"Stef van den Elzen, Jarke J. van Wijk",Papers
InfoVis,,16:15 – 17:55,GLO-STIX: Graph-Level Operations for Specifying Techniques and Interactive eXploration,Scene B,"Charles D. Stolper, Minsuk Kahng, Zhiyuan Lin, Florian Foerster, Aakash Goel, John Stasko, Duen Horng Chau",Papers
InfoVis,,16:15 – 17:55,A Modular Degree-of-Interest Specification for the Visual Analysis of Large Dynamic Networks,Scene B,"James Abello, Steffen Hadlak, Heidrun Schumann, Hans-Jörg Schulz",Papers
InfoVis,,16:15 – 17:55,GraphDiaries: Animated Transitions and Temporal Navigation for Dynamic Networks,Scene B,"Benjamin Bach, Emmanuel Pietriga, Jean-Daniel Fekete",Papers
InfoVis,,16:15 – 17:55,Visual Adjacency Lists for Dynamic Graphs,Scene B,"Marcel Hlawatsch, Michael Burch, Daniel Weiskopf",Papers
InfoVis,,16:15 – 17:55,How to Display Group Information on Node-Link Diagrams: an Evaluation,Scene B,"Radu Jianu, Adrian Rusu, Yifan Hu, Douglas Taggart",Papers
,,,,,,
SciVis,,16:15 – 17:55,Perception and Evaluation,Scene A,Daniel F. Keefe,Papers Session
SciVis,,16:15 – 17:55,An Evaluation of Depth Enhancing Perceptual Cues for Vascular Volume Visualization in Neurosurgery,Scene A,"Marta Kersten-Oertel, Sean J. Chen, D. Louis Collins",Papers
SciVis,,16:15 – 17:55,Perceptually Uniform Motion Space,Scene A,"Asmund Birkeland, Cagatay Turkay, Ivan Viola",Papers
SciVis,,16:15 – 17:55,A Metric for the Evaluation of Dense Vector Field Visualizations,Scene A,"Victor Matvienko, Jens Kruger",Papers
SciVis,,16:15 – 17:55,Attractive Flicker: Guiding Attention in Dynamic Narrative Visualizations,Scene A,"Manuela Waldner, Mathieu Le Muzic, Matthias Bernhard, Werner Purgathofer, Ivan Viola",Papers
SciVis,,16:15 – 17:55,Design and Evaluation of Interactive Proofreading Tools for Connectomics,Scene A,"Daniel Haehn, Seymour Knowles-Barley, Mike Roberts, Johanna Beyer, Narayanan Kasthuri, Jeff W. Lichtman, Hanspeter Pfister",Papers
,,,,,,
VIS,,18:00 – 20:30,Meet the Candidates,Forum ABC,,Compass
,,,,,,
,,Wednesday 12 November 2014,,,,
VIS,,8:00 – 8:30,Papers Fast Forward,Scene B,,Fast Forward
,,,,,,
VISAP,,8:30 – 12:10,VISAP Papers: Art+Interpretation,Auditorium,,Papers Session
VISAP,,8:30 – 12:10,Art+Interpretation,Auditorium,"Angus Forbes, Fanny Chevalier",Papers
VISAP,,8:30 – 12:10,"What Public Visualization Can Learn from Street Art,",Auditorium,"Sandy Claes, Andrew Vande Moere",Papers
VISAP,,8:30 – 12:10,PhysicSpace: From Quantum to Human Scale,Auditorium,"Kevin Walker, Karin von Ompteda",Papers
VISAP,,8:30 – 12:10,Beyond Data: Abstract Motionscapes as Affective Visualization,Auditorium,"Chao Feng, Lyn Bartram, Diane Gromala",Papers
VISAP,,8:30 – 12:10,"Expressive Cartography and the Aesthetics of Public Visualization,",Auditorium,"Patricio Davila, Dave Colangelo, Maggie Chan, Robert Tu",Papers
VISAP,,8:30 – 12:10,Painting with Flow,Auditorium,"Corinna Vehlow, Fabian Beck, Daniel Weiskopf",Papers
VISAP,,8:30 – 12:10,Node-Ring Graph Visualization Clears Edge Congestion,Auditorium,"Katayoon Etemad, Sheelagh Carpendale, Faramarz Samavati",Papers
VISAP,,8:30 – 12:10,"Staging Data Visualization Installations in Physical Locations,",Auditorium,"George Legrady, Angus Forbes",Papers
VISAP,,8:30 – 12:10,The Living Canvas: Interactive Chloroplasts,Auditorium,"Margaret Dolinsky, Roger Hangarter",Papers
VISAP,,8:30 – 12:10,Analogy and Conceptual Blending are Part of a Visualization Toolkit for Artists and Scientists,Auditorium,Jack Ox,Papers
VISAP,,8:30 – 12:10,Visualization on Spherical Displays: Challenges and Opportunities,Auditorium,"Karla Vega, Eric Wernert, Patrick Beard, Cassandre Gniady, David Reagan, Michael Boyles, Chris Eller",Papers
VISAP,,8:30 – 12:10,Automatically Generating Animations From Escher’s Images,Auditorium,Danny Bazo,Papers
VISAP,,8:30 – 12:10,Spatial Correlation: An Interactive Display of Virtual Gesture Sculpture,Auditorium,"Jung Nam, Daniel F. Keefe",Papers
VISAP,,8:30 – 12:10,Application of Gestalt Principles to Multimodal Data Representation,Auditorium,"Muhammad Hafiz Wan Rosli, Andres Cabrera",Papers
VISAP,,8:30 – 12:10,Shanghai Metro Flow - Multiple Perspectives into a Subway System,Auditorium,"Till Nagel, Benedikt Groß",Papers
VISAP,,8:30 – 12:10,"Hearts and Minds: The Interrogations Project,",Auditorium,"Roderick Coover, Scott Rettberg, Daria Tsoupikova, Arthur Nishimoto",Papers
VISAP,,8:30 – 12:10,"Flows: Manifesting CO2 Emissions,",Auditorium,"Duncan Shingleton, Mark Kobine",Papers
VISAP,,8:30 – 12:10,"Smellmap: Amsterdam – Olfactory Art & Smell Visualisation,",Auditorium,Kate McLean,Papers
,,,,,,
VAST,,8:30 – 10:10,Visual Analytics in Societal Applications,Scene C,Daniel Keim,Papers Session
VAST,HM,8:30 – 10:10,LoyalTracker: Visualizing Loyalty Dynamics in Search Engines,Scene C,"Conglei Shi, Yingcai Wu, Shixia Liu, Hong Zhou, Huamin Qu",Papers
VAST,,8:30 – 10:10,VAET: A Visual Analytics Approach for E-transactions Timeseries,Scene C,"Cong Xie, Wei Chen, Xinxin Huang, Yueqi Hu, Scott Barlowe, Jing Yang",Papers
VAST,,8:30 – 10:10,EvoRiver: Visual Analysis of Topic Coopetition on Social Media,Scene C,"Guodao Sun, Yingcai Wu, Shixia Liu, Tai-Quan Peng, Jonathan Zhu, Ronghua Liang",Papers
VAST,,8:30 – 10:10,OpinionFlow: Visual Analysis of Opinion Diffusion on Social Media,Scene C,"Yingcai Wu, Shixia Liu, Kai Yan, Mengchen Liu, Fangzhao Wu",Papers
